,feature_name,feature_weight,relative_effects_ratio
39,lip_DG_DG(16:0_22:6)_low,0.880 ,11.45%
36,lip_DG_DG(18:2_20:4)_high,0.638 ,8.31%
20,lip_DG_DG(18:1_18:2)_high,0.632 ,8.22%
10,lip_DG_DG(16:1_18:1)_high,0.548 ,7.14%
31,lip_DG_DG(18:0_20:4)_low,0.428 ,5.57%
28,lip_DG_DG(18:1_20:3)_high,0.415 ,5.40%
17,lip_DG_DG(18:1_18:1)_low,0.396 ,5.15%
13,lip_DG_DG(16:0_18:2)_low,0.392 ,5.10%
6,lip_DG_DG(14:0_18:2)_high,0.390 ,5.08%
48,lip_DG_DG(18:2_22:6)_high,0.369 ,4.80%
52,gene_BRCA2_SNP,0.347 ,4.51%
44,lip_DG_DG(18:0_22:6)_high,0.342 ,4.46%
46,lip_DG_DG(18:1_22:6)_high,0.305 ,3.97%
5,lip_DG_DG(16:0_16:1)_low,0.252 ,3.28%
15,lip_DG_DG(18:0_18:1)_low,0.244 ,3.18%
25,lip_DG_DG(18:1_18:3)_low,0.207 ,2.69%
33,lip_DG_DG(18:1_20:4)_low,0.183 ,2.39%
40,lip_DG_DG(18:1_20:5)_high,0.182 ,2.37%
0,lip_DG_DG(14:0_16:0)_high,0.145 ,1.89%
2,lip_DG_DG(16:0_16:0)_high,0.139 ,1.81%
23,lip_DG_DG(18:2_18:2)_low,0.102 ,1.33%
18,lip_DG_DG(18:0_18:2)_high,0.085 ,1.11%
8,lip_DG_DG(16:0_18:1)_high,0.032 ,0.42%
27,lip_DG_DG(16:0_20:4)_low,0.029 ,0.38%
34,lip_DG_DG(16:0_22:5)_high,0.000 ,0.00%
51,gene_BRCA1_SNP,0.000 ,0.00%
42,lip_DG_DG(18:1_22:5)_high,0.000 ,0.00%
35,lip_DG_DG(16:0_22:5)_low,0.000 ,0.00%
43,lip_DG_DG(18:1_22:5)_low,0.000 ,0.00%
26,lip_DG_DG(16:0_20:4)_high,-0.002 ,-0.02%
