,feature_name,feature_weight,relative_effects_ratio
38,lip_Cer_Cer(d18:1/17:0)_high,-0.7411077512467099,0.05449408384917517
99,lip_Cer_Cer(d20:1/23:0)_low,-0.7228009928456344,0.05314797725990175
0,lip_Sph_Sph(d16:1)_high,-0.6339491228441034,0.046614647597819185
55,lip_Cer_Cer(d18:1/24:1)_low,-0.5787385907302236,0.04255498507059541
33,lip_Cer_Cer(d17:1/24:1)_low,-0.5716699902658328,0.04203522676857409
90,lip_Cer_Cer(d19:1/24:0)_high,-0.5686919181495097,0.04181624739432952
22,lip_Cer_Cer(d17:1/18:0)_high,-0.5531572108066714,0.04067397133111342
97,lip_Cer_Cer(d20:1/22:0)_low,-0.5459649741470541,0.04014512198777168
117,lip_Cer_Cer(m18:1/18:0)_low,-0.5413995495287928,0.039809423661130106
10,lip_Cer_Cer(d16:1/20:0)_high,-0.5228364396574353,0.03844446739919721
56,lip_Cer_Cer(d18:1/26:0)_high,-0.5028449396280363,0.03697448077843902
3,lip_Sph_Sph(d18:1)_low,-0.49986967570689717,0.03675570789241908
130,gene_TP53_SNP,-0.47916831894420947,0.03523352509333235
121,lip_Cer_Cer(m18:1/22:0)_low,-0.4782130453007063,0.03516328326690374
45,lip_Cer_Cer(d18:1/20:0)_low,-0.4737251561087332,0.03483328616523833
46,lip_Cer_Cer(d18:1/21:0)_high,-0.4426587347300942,0.03254895413841299
95,lip_Cer_Cer(d19:1/26:0)_low,-0.4359837401390411,0.03205813790511124
52,lip_Cer_Cer(d18:1/24:0)_high,-0.43524950261160306,0.03200414899281325
106,lip_Cer_Cer(m18:0/20:0)_high,-0.4173877127148655,0.03069076119638048
12,lip_Cer_Cer(d16:1/22:0)_high,-0.4136439520594134,0.03041548029866182
112,lip_Cer_Cer(m18:0/24:0)_high,-0.37829318622858243,0.027816117933233568
40,lip_Cer_Cer(d18:1/18:0)_high,-0.3477095511934309,0.02556728546694985
84,lip_Cer_Cer(d19:1/20:0)_high,-0.3365805481097297,0.024748963399503204
37,lip_Cer_Cer(d18:1/16:0)_low,-0.3305024355375513,0.024302036248092594
104,lip_Cer_Cer(d20:1/26:0)_high,-0.3201825313937788,0.023543207696130816
108,lip_Cer_Cer(m18:0/22:0)_high,-0.30920436739460694,0.022735976914271518
83,lip_Cer_Cer(d19:1/18:0)_low,-0.2783377060364721,0.020466333357899713
92,lip_Cer_Cer(d19:1/24:1)_high,-0.257772194449243,0.01895413933354849
101,lip_Cer_Cer(d20:1/24:0)_low,-0.24634520775021584,0.018113906357611228
18,lip_Cer_Cer(d16:1/24:1)_high,-0.23579461645721728,0.01733811524543914
