,feature_name,feature_weight,relative_effects_ratio
53,gene_CHEK2_SNP,-1.1268804529431704,0.1319032417266458
38,lip_DG_DG(16:0_22:6)_high,-0.8515220828187066,0.09967208396619254
50,gene_ATM_SNP,-0.7265501473727881,0.08504390990645394
37,lip_DG_DG(18:2_20:4)_low,-0.6102142859033693,0.07142660274951439
21,lip_DG_DG(18:1_18:2)_low,-0.6035548815726515,0.07064710833473777
11,lip_DG_DG(16:1_18:1)_low,-0.5200483179589839,0.06087252539887544
30,lip_DG_DG(18:0_20:4)_high,-0.3998129036431271,0.04679876905925095
29,lip_DG_DG(18:1_20:3)_low,-0.3867909743673284,0.04527453045831784
16,lip_DG_DG(18:1_18:1)_high,-0.36748742335665063,0.04301501752729314
12,lip_DG_DG(16:0_18:2)_high,-0.3634449114150025,0.04254183474341451
7,lip_DG_DG(14:0_18:2)_low,-0.36185964309889224,0.0423562764356496
49,lip_DG_DG(18:2_22:6)_low,-0.3408663116634648,0.03989897187974706
45,lip_DG_DG(18:0_22:6)_low,-0.31402106469203916,0.03675669082301633
47,lip_DG_DG(18:1_22:6)_low,-0.2770949976384638,0.0324344329154797
4,lip_DG_DG(16:0_16:1)_high,-0.22361179992803126,0.026174135172726196
14,lip_DG_DG(18:0_18:1)_high,-0.2163529516459693,0.025324474840873627
24,lip_DG_DG(18:1_18:3)_high,-0.17875597751256359,0.020923686137549517
32,lip_DG_DG(18:1_20:4)_high,-0.1551146085679873,0.018156424362353454
41,lip_DG_DG(18:1_20:5)_low,-0.15423662144407863,0.018053654501064848
1,lip_DG_DG(14:0_16:0)_low,-0.11671490261688612,0.013661674557197632
3,lip_DG_DG(16:0_16:0)_low,-0.11124287973494257,0.01302116512689772
22,lip_DG_DG(18:2_18:2)_high,-0.07412217771203816,0.008676124870673773
19,lip_DG_DG(18:0_18:2)_low,-0.05702900611158393,0.006675340546479399
9,lip_DG_DG(16:0_18:1)_low,-0.0043638384113403915,0.0005107945845752299
26,lip_DG_DG(16:0_20:4)_high,-0.0015423049595201864,0.0001805293750197433
51,gene_BRCA1_SNP,0.0,-0.0
43,lip_DG_DG(18:1_22:5)_low,0.0,-0.0
42,lip_DG_DG(18:1_22:5)_high,0.0,-0.0
34,lip_DG_DG(16:0_22:5)_high,0.0,-0.0
35,lip_DG_DG(16:0_22:5)_low,0.0,-0.0
