,feature_name,feature_weight,relative_effects_ratio
61,gene_Amp,-0.916,13.27%
62,gene_Del,-0.864,12.52%
14,lip_Cer(d18:1/14:0),-0.567,8.21%
18,lip_Cer(d18:1/19:0),-0.566,8.20%
63,gene_SNP,-0.459,6.65%
38,lip_Cer(d19:1/18:0),-0.415,6.01%
39,lip_Cer(d19:1/20:0),-0.376,5.45%
43,lip_Cer(d19:1/24:1),-0.273,3.96%
27,lip_Cer(d18:2/16:0),-0.272,3.94%
35,lip_Cer(d18:2/24:1),-0.266,3.85%
49,lip_Cer(d20:1/26:0),-0.258,3.73%
60,lip_Cer(m18:1/24:1),-0.234,3.39%
41,lip_Cer(d19:1/23:0),-0.224,3.24%
9,lip_Cer(d17:1/20:0),-0.217,3.15%
20,lip_Cer(d18:1/21:0),-0.212,3.08%
30,lip_Cer(d18:2/20:0),-0.194,2.80%
0,lip_Cer(d16:1/16:0),-0.185,2.67%
24,lip_Cer(d18:1/24:1),-0.154,2.24%
15,lip_Cer(d18:1/16:0),-0.129,1.86%
44,lip_Cer(d19:1/26:0),-0.123,1.79%
