,feature_name,feature_weight,relative_effects_ratio
62,gene_RB1_Del,1.683,31.34%
46,lip_Cer_Cer(d20:1/23:0),0.603,11.22%
40,lip_Cer_Cer(d19:1/22:0),0.568,10.57%
47,lip_Cer_Cer(d20:1/24:0),0.542,10.09%
45,lip_Cer_Cer(d20:1/22:0),0.424,7.90%
61,gene_AR_Amp,0.366,6.81%
39,lip_Cer_Cer(d19:1/20:0),0.341,6.35%
41,lip_Cer_Cer(d19:1/23:0),0.307,5.71%
48,lip_Cer_Cer(d20:1/24:1),0.199,3.70%
38,lip_Cer_Cer(d19:1/18:0),0.183,3.40%
21,lip_Cer_Cer(d18:1/22:0),0.090,1.68%
19,lip_Cer_Cer(d18:1/20:0),0.049,0.92%
23,lip_Cer_Cer(d18:1/24:0),0.017,0.31%
42,lip_Cer_Cer(d19:1/24:0),0,0
37,lip_Cer_Cer(d19:1/16:0),0,0
35,lip_Cer_Cer(d18:2/24:1),0,0
34,lip_Cer_Cer(d18:2/24:0),0,0
32,lip_Cer_Cer(d18:2/22:0),0,0
43,lip_Cer_Cer(d19:1/24:1),0,0
44,lip_Cer_Cer(d19:1/26:0),0,0
