,feature_name,feature_weight,relative_effects_ratio
79,lip_Cer_Cer(d18:1/14:0)_low,0.723,9.04%
31,lip_DG_DG(18:0_20:4)_low,0.556,6.95%
114,lip_Cer_Cer(d18:2/22:0)_high,0.512,6.41%
141,lip_Cer_Cer(d20:1/22:0)_low,0.465,5.81%
68,lip_Cer_Cer(d17:1/20:0)_high,0.434,5.43%
21,lip_DG_DG(18:1_18:2)_low,0.412,5.16%
100,lip_Cer_Cer(d18:1/26:0)_high,0.412,5.15%
62,lip_Cer_Cer(d16:1/24:1)_high,0.407,5.10%
136,lip_Cer_Cer(d19:1/24:1)_high,0.392,4.91%
92,lip_Cer_Cer(d18:1/22:0)_high,0.384,4.81%
151,lip_Cer_Cer(m18:0/20:0)_low,0.375,4.69%
143,lip_Cer_Cer(d20:1/23:0)_low,0.366,4.57%
23,lip_DG_DG(18:2_18:2)_low,0.359,4.49%
28,lip_DG_DG(18:1_20:3)_high,0.357,4.47%
51,lip_Cer_Cer(d16:1/16:0)_low,0.336,4.21%
3,lip_DG_DG(16:0_16:0)_low,0.319,3.99%
162,lip_Cer_Cer(m18:1/20:0)_high,0.31,3.87%
76,lip_Cer_Cer(d17:1/24:1)_high,0.302,3.78%
175,gene_CHEK2_SNP,0.29,3.62%
6,lip_DG_DG(14:0_18:2)_high,0.284,3.55%
