,feature_name,feature_weight,relative_effects_ratio
129,gene_RB1_Del,2.208,15.37%
39,lip_Cer_Cer(d18:1/17:0)_low,0.699,4.87%
98,lip_Cer_Cer(d20:1/23:0)_high,0.681,4.74%
1,lip_Sph_Sph(d16:1)_low,0.592,4.12%
54,lip_Cer_Cer(d18:1/24:1)_high,0.537,3.74%
32,lip_Cer_Cer(d17:1/24:1)_high,0.53,3.69%
91,lip_Cer_Cer(d19:1/24:0)_low,0.527,3.67%
23,lip_Cer_Cer(d17:1/18:0)_low,0.511,3.56%
96,lip_Cer_Cer(d20:1/22:0)_high,0.504,3.51%
116,lip_Cer_Cer(m18:1/18:0)_high,0.5,3.48%
11,lip_Cer_Cer(d16:1/20:0)_low,0.481,3.35%
57,lip_Cer_Cer(d18:1/26:0)_low,0.461,3.21%
2,lip_Sph_Sph(d18:1)_high,0.458,3.19%
128,gene_AR_Amp,0.442,3.08%
120,lip_Cer_Cer(m18:1/22:0)_high,0.436,3.04%
44,lip_Cer_Cer(d18:1/20:0)_high,0.432,3.01%
47,lip_Cer_Cer(d18:1/21:0)_low,0.401,2.79%
94,lip_Cer_Cer(d19:1/26:0)_high,0.394,2.74%
53,lip_Cer_Cer(d18:1/24:0)_low,0.393,2.74%
107,lip_Cer_Cer(m18:0/20:0)_low,0.376,2.62%
13,lip_Cer_Cer(d16:1/22:0)_low,0.372,2.59%
113,lip_Cer_Cer(m18:0/24:0)_low,0.336,2.34%
41,lip_Cer_Cer(d18:1/18:0)_low,0.306,2.13%
85,lip_Cer_Cer(d19:1/20:0)_low,0.295,2.06%
36,lip_Cer_Cer(d18:1/16:0)_high,0.289,2.01%
105,lip_Cer_Cer(d20:1/26:0)_low,0.278,1.94%
109,lip_Cer_Cer(m18:0/22:0)_low,0.267,1.86%
82,lip_Cer_Cer(d19:1/18:0)_high,0.237,1.65%
93,lip_Cer_Cer(d19:1/24:1)_low,0.217,1.51%
100,lip_Cer_Cer(d20:1/24:0)_high,0.205,1.42%
