,feature_name,feature_weight,relative_effects_ratio
89,lip_Cer_Cer(d19:1/26:0)_low,0.686 ,6.54%
84,lip_Cer_Cer(d19:1/24:0)_high,0.543 ,5.18%
46,lip_Cer_Cer(d18:1/24:0)_high,0.523 ,4.99%
69,lip_Cer_Cer(d18:2/24:0)_low,0.521 ,4.97%
32,lip_Cer_Cer(d18:1/17:0)_high,0.492 ,4.70%
93,lip_Cer_Cer(d20:1/23:0)_low,0.488 ,4.65%
42,lip_Cer_Cer(d18:1/22:0)_high,0.453 ,4.32%
49,lip_Cer_Cer(d18:1/24:1)_low,0.440 ,4.19%
76,lip_Cer_Cer(d19:1/18:0)_high,0.420 ,4.01%
79,lip_Cer_Cer(d19:1/20:0)_low,0.404 ,3.86%
29,lip_Cer_Cer(d18:1/14:0)_low,0.398 ,3.79%
70,lip_Cer_Cer(d18:2/24:1)_high,0.393 ,3.74%
10,lip_Cer_Cer(d16:1/24:0)_high,0.355 ,3.39%
8,lip_Cer_Cer(d16:1/23:0)_high,0.347 ,3.31%
102,lip_Cer_Cer(m18:0/22:0)_high,0.331 ,3.16%
23,lip_Cer_Cer(d17:1/23:0)_low,0.329 ,3.13%
50,lip_Cer_Cer(d18:1/26:0)_high,0.327 ,3.12%
120,lip_Cer_Cer(m18:1/24:1)_high,0.301 ,2.87%
37,lip_Cer_Cer(d18:1/19:0)_low,0.299 ,2.86%
2,lip_Cer_Cer(d16:1/18:0)_high,0.281 ,2.68%
45,lip_Cer_Cer(d18:1/23:0)_low,0.273 ,2.61%
83,lip_Cer_Cer(d19:1/23:0)_low,0.263 ,2.51%
119,lip_Cer_Cer(m18:1/24:0)_low,0.240 ,2.29%
111,lip_Cer_Cer(m18:1/18:0)_low,0.226 ,2.16%
7,lip_Cer_Cer(d16:1/22:0)_low,0.206 ,1.96%
1,lip_Cer_Cer(d16:1/16:0)_low,0.202 ,1.93%
75,lip_Cer_Cer(d19:1/16:0)_low,0.202 ,1.92%
16,lip_Cer_Cer(d17:1/18:0)_high,0.198 ,1.89%
52,lip_Cer_Cer(d18:2/14:0)_high,0.178 ,1.69%
80,lip_Cer_Cer(d19:1/22:0)_high,0.167 ,1.59%
