,feature_name,feature_weight,relative_effects_ratio
39,lip_DG_DG(16:0_22:6)_low,0.88,11.83%
36,lip_DG_DG(18:2_20:4)_high,0.638,8.59%
20,lip_DG_DG(18:1_18:2)_high,0.632,8.50%
10,lip_DG_DG(16:1_18:1)_high,0.548,7.37%
31,lip_DG_DG(18:0_20:4)_low,0.428,5.76%
28,lip_DG_DG(18:1_20:3)_high,0.415,5.58%
17,lip_DG_DG(18:1_18:1)_low,0.396,5.32%
13,lip_DG_DG(16:0_18:2)_low,0.392,5.27%
6,lip_DG_DG(14:0_18:2)_high,0.39,5.25%
48,lip_DG_DG(18:2_22:6)_high,0.369,4.96%
52,gene_BRCA2_SNP,0.347,4.66%
44,lip_DG_DG(18:0_22:6)_high,0.342,4.60%
46,lip_DG_DG(18:1_22:6)_high,0.305,4.11%
5,lip_DG_DG(16:0_16:1)_low,0.252,3.39%
15,lip_DG_DG(18:0_18:1)_low,0.244,3.29%
25,lip_DG_DG(18:1_18:3)_low,0.207,2.78%
33,lip_DG_DG(18:1_20:4)_low,0.183,2.47%
40,lip_DG_DG(18:1_20:5)_high,0.182,2.45%
0,lip_DG_DG(14:0_16:0)_high,0.145,1.95%
2,lip_DG_DG(16:0_16:0)_high,0.139,1.87%
